"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Nu_Tilde","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
1.153,-4.5448,1.2459,135.48,2.4071e+05,4.4922e-05,0,0,0,93095,281.26,0.3497,-0.94726,1.716e-05,0,0,0,0,0,3.6962e-06,0.10411,-0.028139,-0.0075167
1.154,-4.0653,1.106,134.65,2.4087e+05,4.495e-05,0,0,0,93201,281.35,0.34718,-0.93502,1.716e-05,0,0,0,0,0,3.7161e-06,0.1079,-0.028711,-0.0076831
1.1548,-3.4754,0.93762,133.9,2.4101e+05,4.4968e-05,0,0,0,93296,281.44,0.34489,-0.92407,1.716e-05,0,0,0,0,0,3.7322e-06,0.11167,-0.02925,-0.0078537
1.1554,-2.8129,0.75486,133.42,2.411e+05,4.4939e-05,0,0,0,93358,281.49,0.34343,-0.917,1.716e-05,0,0,0,0,0,3.7296e-06,0.11541,-0.029951,-0.0080251
1.1557,-2.128,0.57529,133.12,2.4116e+05,4.4887e-05,0,0,0,93397,281.52,0.34249,-0.91249,1.716e-05,0,0,0,0,0,3.7174e-06,0.11912,-0.030666,-0.0082058
1.1559,-1.4313,0.3963,132.97,2.4119e+05,4.4978e-05,0,0,0,93417,281.54,0.34203,-0.91017,1.716e-05,0,0,0,0,0,3.7484e-06,0.12282,-0.031364,-0.0083864
1.1558,-0.72925,0.21861,133.09,2.4119e+05,4.5315e-05,0,0,0,93412,281.54,0.34232,-0.91077,1.716e-05,0,0,0,0,0,3.8549e-06,0.12651,-0.032045,-0.0085782
1.1552,-0.11621,0.065648,133.7,2.411e+05,5.1706e-05,0,0,0,93344,281.48,0.34411,-0.91854,1.716e-05,0,0,0,0,0,6.2972e-06,0.1302,-0.032711,-0.0087736
1.1538,0.27175,-0.0069715,132.17,2.4066e+05,0.00028622,0,0,0,93238,281.5,0.34058,-0.93078,1.716e-05,0,0,0,0,0,0.00031446,0.13244,-0.033108,-0.0088988
1.1502,0.36197,0.0022503,120.16,2.3915e+05,0.0011739,0,0,0,93151,282.13,0.31026,-0.94081,1.716e-05,0,0,0,0,0,0.0013493,0.1338,-0.033346,-0.0089747
1.1468,0.22217,0.022039,107.07,2.3779e+05,0.0012701,0,0,0,93118,282.86,0.2769,-0.94451,1.716e-05,0,0,0,0,0,0.0014557,0.13462,-0.033489,-0.0090206
1.1447,0.048399,0.060081,96.485,2.3689e+05,0.0010435,0,0,0,93128,283.42,0.24976,-0.94343,1.716e-05,0,0,0,0,0,0.0011932,0.13512,-0.033576,-0.0090484
1.1431,-0.042877,0.081714,87.322,2.3621e+05,0.00075603,0,0,0,93149,283.87,0.22616,-0.941,1.716e-05,0,0,0,0,0,0.00086182,0.13542,-0.033628,-0.0090653
1.1418,-0.051103,0.083924,79.285,2.3565e+05,0.00050402,0,0,0,93160,284.22,0.20545,-0.93974,1.716e-05,0,0,0,0,0,0.00057009,0.1356,-0.03366,-0.0090755
1.1406,-0.027093,0.078042,72.065,2.3518e+05,0.00031675,0,0,0,93162,284.53,0.18684,-0.93954,1.716e-05,0,0,0,0,0,0.00034796,0.13572,-0.033679,-0.0090817
1.1395,-0.0029465,0.07125,65.089,2.3476e+05,0.00019229,0,0,0,93160,284.8,0.16884,-0.93968,1.716e-05,0,0,0,0,0,0.00018697,0.13578,-0.033691,-0.0090854
1.1384,0.012159,0.064821,57.179,2.3433e+05,0.00011137,0,0,0,93159,285.08,0.1484,-0.93988,1.716e-05,0,0,0,0,0,6.7163e-05,0.13582,-0.033698,-0.0090877
1.1369,0.017174,0.056081,45.326,2.338e+05,5.5947e-05,0,0,0,93157,285.44,0.11771,-0.94007,1.716e-05,0,0,0,0,0,7.9243e-06,0.13585,-0.033702,-0.0090891
1.1356,0.013473,0.039895,27.945,2.3323e+05,3.1533e-05,0,0,0,93156,285.77,0.072616,-0.9402,1.716e-05,0,0,0,0,0,8.8658e-07,0.13586,-0.033705,-0.0090899
1.1351,0.0068926,0.023201,14.367,2.3298e+05,1.6195e-05,0,0,0,93156,285.91,0.037341,-0.94016,1.716e-05,0,0,0,0,0,6.2917e-08,0.13587,-0.033706,-0.0090904
1.1349,0.002464,0.009684,5.5183,2.329e+05,6.2389e-06,0,0,0,93157,285.95,0.014343,-0.94013,1.716e-05,0,0,0,0,0,1.3895e-09,0.13588,-0.033707,-0.0090907
1.1349,0,0,0,2.3289e+05,0,0,0,0,93157,285.95,0,-0.94012,1.716e-05,1.1949e-06,4.9938e-06,0.0028361,-33.552,1.0477,0,0.13588,-0.033708,-0.0090909
1.1204,0,0,0,2.2971e+05,0,0,0,0,91885,285.71,0,-1.0865,1.716e-05,-1.5628e-06,-3.3529e-06,0.0038127,-69.554,1.2417,0,0.040662,-0.019277,-0.0058617
1.1204,-0.0030462,-0.0064484,7.3502,2.2974e+05,7.4523e-06,0,0,0,91885,285.7,0.019361,-1.0865,1.716e-05,0,0,0,0,0,2.6864e-09,0.040666,-0.019277,-0.0058619
1.1207,-0.0071824,-0.014745,19.081,2.2987e+05,1.9266e-05,0,0,0,91885,285.62,0.050255,-1.0865,1.716e-05,0,0,0,0,0,1.1949e-07,0.040671,-0.019279,-0.0058623
1.1217,-0.012194,-0.023185,36.89,2.3032e+05,3.7463e-05,0,0,0,91885,285.37,0.097115,-1.0865,1.716e-05,0,0,0,0,0,1.6562e-06,0.04068,-0.019281,-0.0058629
1.1237,-0.017202,-0.027202,57.001,2.3116e+05,6.9344e-05,0,0,0,91884,284.85,0.14992,-1.0866,1.716e-05,0,0,0,0,0,1.616e-05,0.040696,-0.019284,-0.0058639
1.1256,-0.022252,-0.026029,69.301,2.3184e+05,0.00013147,0,0,0,91883,284.38,0.18213,-1.0867,1.716e-05,0,0,0,0,0,9.4976e-05,0.040721,-0.019289,-0.0058655
1.127,-0.035359,-0.018914,78.007,2.324e+05,0.0002163,0,0,0,91881,284,0.20487,-1.0869,1.716e-05,0,0,0,0,0,0.00021673,0.040763,-0.019298,-0.0058683
1.1285,-0.0664,-0.0021939,85.854,2.3296e+05,0.00034371,0,0,0,91877,283.62,0.22534,-1.0874,1.716e-05,0,0,0,0,0,0.00037622,0.040832,-0.019313,-0.0058728
1.13,-0.1295,0.030416,93.633,2.3355e+05,0.00052647,0,0,0,91869,283.21,0.2456,-1.0883,1.716e-05,0,0,0,0,0,0.00058987,0.040945,-0.019337,-0.0058802
1.1317,-0.24144,0.086041,101.7,2.3422e+05,0.00076455,0,0,0,91859,282.75,0.26658,-1.0894,1.716e-05,0,0,0,0,0,0.00086286,0.041132,-0.019378,-0.0058924
1.1337,-0.42084,0.17204,110.53,2.35e+05,0.0010239,0,0,0,91847,282.23,0.28949,-1.0909,1.716e-05,0,0,0,0,0,0.0011595,0.041441,-0.019444,-0.0059126
1.1361,-0.67821,0.29091,120.73,2.3601e+05,0.0011945,0,0,0,91837,281.6,0.31589,-1.092,1.716e-05,0,0,0,0,0,0.0013561,0.04195,-0.019554,-0.0059458
1.1393,-0.96873,0.41428,132.96,2.3739e+05,0.00099525,0,0,0,91853,280.85,0.34739,-1.0901,1.716e-05,0,0,0,0,0,0.0011325,0.042792,-0.019725,-0.0060002
1.1422,-1.2033,0.44971,142.73,2.3868e+05,0.00020302,0,0,0,91905,280.31,0.37233,-1.0842,1.716e-05,0,0,0,0,0,0.00020252,0.044184,-0.019996,-0.0060893
1.1429,-1.3466,0.43036,144.1,2.3895e+05,4.7716e-05,0,0,0,91948,280.27,0.37571,-1.0793,1.716e-05,0,0,0,0,0,4.4876e-06,0.046487,-0.020405,-0.0062341
1.1427,-1.5744,0.47143,144.24,2.3894e+05,4.4455e-05,0,0,0,91933,280.26,0.37612,-1.0809,1.716e-05,0,0,0,0,0,3.4335e-06,0.050306,-0.020971,-0.0064666
1.1426,-1.987,0.60368,144.41,2.3892e+05,4.4447e-05,0,0,0,91915,280.24,0.37665,-1.083,1.716e-05,0,0,0,0,0,3.4292e-06,0.054182,-0.021412,-0.0066928
1.1426,-2.5188,0.77147,144.42,2.3893e+05,4.4407e-05,0,0,0,91922,280.25,0.37669,-1.0822,1.716e-05,0,0,0,0,0,3.4183e-06,0.058086,-0.021716,-0.0069137
1.1429,-3.0727,0.95564,144.22,2.3899e+05,4.443e-05,0,0,0,91955,280.28,0.37607,-1.0784,1.716e-05,0,0,0,0,0,3.4285e-06,0.061984,-0.021868,-0.0071255
1.1434,-3.6023,1.1406,143.87,2.3907e+05,4.4454e-05,0,0,0,92007,280.32,0.37501,-1.0725,1.716e-05,0,0,0,0,0,3.4408e-06,0.065846,-0.022226,-0.0073377
1.144,-4.1109,1.2968,143.41,2.3918e+05,4.4498e-05,0,0,0,92072,280.38,0.37364,-1.065,1.716e-05,0,0,0,0,0,3.4602e-06,0.069683,-0.022922,-0.0075492
1.1447,-4.5786,1.421,142.78,2.3931e+05,4.456e-05,0,0,0,92157,280.45,0.37174,-1.0552,1.716e-05,0,0,0,0,0,3.4873e-06,0.073488,-0.023551,-0.0077561
1.1457,-4.9634,1.5126,141.98,2.3946e+05,4.4617e-05,0,0,0,92261,280.54,0.36934,-1.0432,1.716e-05,0,0,0,0,0,3.5152e-06,0.077315,-0.024123,-0.0079595
1.1467,-5.2347,1.5644,141.05,2.3964e+05,4.4681e-05,0,0,0,92381,280.64,0.36654,-1.0294,1.716e-05,0,0,0,0,0,3.5469e-06,0.081177,-0.024638,-0.0081603
1.1479,-5.3675,1.5723,140.02,2.3983e+05,4.4747e-05,0,0,0,92511,280.76,0.36344,-1.0144,1.716e-05,0,0,0,0,0,3.5803e-06,0.085052,-0.025093,-0.008361
1.149,-5.3554,1.5391,139,2.4002e+05,4.4798e-05,0,0,0,92640,280.87,0.36035,-0.99958,1.716e-05,0,0,0,0,0,3.6095e-06,0.088921,-0.025536,-0.0085572
1.15,-5.2309,1.48,138.09,2.4019e+05,4.4824e-05,0,0,0,92756,280.97,0.35761,-0.98626,1.716e-05,0,0,0,0,0,3.6295e-06,0.092718,-0.026234,-0.0087578
1.151,-5.0238,1.4057,137.23,2.4035e+05,4.4851e-05,0,0,0,92865,281.06,0.35502,-0.97374,1.716e-05,0,0,0,0,0,3.6496e-06,0.09652,-0.0269,-0.0089562
1.1519,-4.738,1.3119,136.39,2.4051e+05,4.4882e-05,0,0,0,92969,281.15,0.35248,-0.96169,1.716e-05,0,0,0,0,0,3.6703e-06,0.10033,-0.027537,-0.0091576
1.1528,-4.3663,1.1975,135.58,2.4065e+05,4.4909e-05,0,0,0,93069,281.24,0.35002,-0.95026,1.716e-05,0,0,0,0,0,3.6891e-06,0.10413,-0.028141,-0.0093558
1.1536,-3.9009,1.0612,134.8,2.4078e+05,4.4931e-05,0,0,0,93160,281.32,0.34768,-0.93969,1.716e-05,0,0,0,0,0,3.7058e-06,0.10791,-0.028712,-0.0095527
1.1543,-3.3381,0.89977,134.11,2.409e+05,4.4944e-05,0,0,0,93241,281.39,0.3456,-0.93047,1.716e-05,0,0,0,0,0,3.7186e-06,0.11169,-0.029251,-0.0097536
1.1548,-2.7112,0.72618,133.66,2.4097e+05,4.4915e-05,0,0,0,93294,281.43,0.34424,-0.92432,1.716e-05,0,0,0,0,0,3.7153e-06,0.11542,-0.029952,-0.0099551
1.1551,-2.0633,0.55584,133.38,2.4102e+05,4.4862e-05,0,0,0,93327,281.46,0.34338,-0.92046,1.716e-05,0,0,0,0,0,3.7023e-06,0.11913,-0.030667,-0.010165
1.1552,-1.4102,0.38764,133.26,2.4104e+05,4.4954e-05,0,0,0,93343,281.48,0.34299,-0.91863,1.716e-05,0,0,0,0,0,3.7327e-06,0.12283,-0.031364,-0.010375
1.1552,-0.76818,0.22475,133.39,2.4104e+05,4.528e-05,0,0,0,93338,281.47,0.34332,-0.9193,1.716e-05,0,0,0,0,0,3.8357e-06,0.12651,-0.032044,-0.010596
1.1547,-0.2381,0.091893,133.97,2.4098e+05,5.1562e-05,0,0,0,93282,281.43,0.345,-0.92566,1.716e-05,0,0,0,0,0,6.2218e-06,0.1302,-0.03271,-0.010821
1.1536,0.068007,0.032894,132.33,2.4062e+05,0.0002806,0,0,0,93211,281.48,0.34106,-0.93383,1.716e-05,0,0,0,0,0,0.00030731,0.13244,-0.033106,-0.010963
1.1504,0.15898,0.035145,120.06,2.3919e+05,0.0011659,0,0,0,93169,282.14,0.30995,-0.93864,1.716e-05,0,0,0,0,0,0.0013402,0.1338,-0.033344,-0.01105
1.1472,0.1142,0.035386,106.73,2.3785e+05,0.0012647,0,0,0,93154,282.88,0.27593,-0.94044,1.716e-05,0,0,0,0,0,0.00145,0.13462,-0.033487,-0.011102
1.1449,0.045862,0.048363,96.106,2.3693e+05,0.0010375,0,0,0,93158,283.44,0.2487,-0.93996,1.716e-05,0,0,0,0,0,0.0011866,0.13512,-0.033573,-0.011134
1.1433,0.010118,0.056029,87.153,2.3623e+05,0.00075026,0,0,0,93165,283.88,0.22569,-0.93915,1.716e-05,0,0,0,0,0,0.00085531,0.13542,-0.033625,-0.011153
1.1419,0.0029628,0.057462,79.368,2.3568e+05,0.00049925,0,0,0,93168,284.23,0.20565,-0.93877,1.716e-05,0,0,0,0,0,0.00056458,0.13561,-0.033657,-0.011164
1.1407,0.0063538,0.056143,72.295,2.3521e+05,0.00031399,0,0,0,93169,284.53,0.18742,-0.93871,1.716e-05,0,0,0,0,0,0.00034461,0.13572,-0.033676,-0.011171
1.1396,0.01044,0.053851,65.363,2.348e+05,0.0001914,0,0,0,93169,284.81,0.16953,-0.93873,1.716e-05,0,0,0,0,0,0.00018574,0.13578,-0.033688,-0.011176
1.1384,0.012132,0.050569,57.403,2.3437e+05,0.00011186,0,0,0,93168,285.09,0.14896,-0.93877,1.716e-05,0,0,0,0,0,6.7885e-05,0.13582,-0.033695,-0.011178
1.137,0.011174,0.043993,45.394,2.3383e+05,5.6579e-05,0,0,0,93168,285.45,0.11787,-0.93882,1.716e-05,0,0,0,0,0,8.2553e-06,0.13585,-0.033699,-0.01118
1.1357,0.008196,0.030552,27.776,2.3326e+05,3.17e-05,0,0,0,93168,285.78,0.072166,-0.93885,1.716e-05,0,0,0,0,0,9.0552e-07,0.13586,-0.033702,-0.011181
1.1352,0.0044786,0.017269,14.201,2.3301e+05,1.62e-05,0,0,0,93168,285.92,0.036906,-0.93884,1.716e-05,0,0,0,0,0,6.3021e-08,0.13587,-0.033703,-0.011181
1.135,0.0017269,0.0070804,5.4445,2.3293e+05,6.2236e-06,0,0,0,93168,285.95,0.01415,-0.93883,1.716e-05,0,0,0,0,0,1.3765e-09,0.13588,-0.033704,-0.011182
1.135,0,0,0,2.3292e+05,0,0,0,0,93168,285.96,0,-0.93883,1.716e-05,8.7625e-07,3.644e-06,0.0028,-31.97,1.0407,0,0.13588,-0.033705,-0.011182
1.1212,0,0,0,2.299e+05,0,0,0,0,91958,285.73,0,-1.0781,1.716e-05,-1.0964e-06,-2.3537e-06,0.0037681,-66.917,1.2362,0,0.040662,-0.019277,-0.0075079
1.1212,-0.0020357,-0.0045799,7.2729,2.2992e+05,7.412e-06,0,0,0,91958,285.72,0.019143,-1.0781,1.716e-05,0,0,0,0,0,2.6363e-09,0.040666,-0.019277,-0.0075082
1.1215,-0.0051333,-0.010426,18.903,2.3005e+05,1.9162e-05,0,0,0,91958,285.65,0.049749,-1.0781,1.716e-05,0,0,0,0,0,1.1728e-07,0.040671,-0.019279,-0.0075086
1.1224,-0.0097719,-0.016101,36.573,2.3049e+05,3.7225e-05,0,0,0,91958,285.4,0.096209,-1.0781,1.716e-05,0,0,0,0,0,1.62e-06,0.04068,-0.019281,-0.0075093
1.1245,-0.015956,-0.017838,56.613,2.3132e+05,6.8455e-05,0,0,0,91957,284.88,0.14879,-1.0782,1.716e-05,0,0,0,0,0,1.5504e-05,0.040696,-0.019284,-0.0075104
1.1263,-0.022845,-0.015353,68.85,2.3199e+05,0.00012949,0,0,0,91956,284.42,0.18081,-1.0783,1.716e-05,0,0,0,0,0,9.2139e-05,0.040721,-0.019289,-0.0075123
1.1278,-0.036148,-0.0080617,77.414,2.3254e+05,0.00021346,0,0,0,91954,284.04,0.20317,-1.0785,1.716e-05,0,0,0,0,0,0.00021311,0.040763,-0.019298,-0.0075154
1.1292,-0.06227,0.0062711,85.096,2.3308e+05,0.0003403,0,0,0,91951,283.67,0.22319,-1.0788,1.716e-05,0,0,0,0,0,0.00037241,0.040832,-0.019313,-0.0075206
1.1308,-0.11112,0.032042,92.757,2.3367e+05,0.00052312,0,0,0,91946,283.26,0.24312,-1.0794,1.716e-05,0,0,0,0,0,0.0005864,0.040945,-0.019338,-0.0075291
1.1325,-0.19637,0.075147,100.79,2.3433e+05,0.00076133,0,0,0,91939,282.82,0.26399,-1.0803,1.716e-05,0,0,0,0,0,0.00085975,0.041132,-0.019378,-0.007543
1.1344,-0.33463,0.14239,109.65,2.3512e+05,0.0010208,0,0,0,91928,282.3,0.28697,-1.0815,1.716e-05,0,0,0,0,0,0.0011567,0.041441,-0.019444,-0.007566
1.1368,-0.53874,0.23726,119.97,2.3613e+05,0.0011922,0,0,0,91919,281.68,0.31366,-1.0825,1.716e-05,0,0,0,0,0,0.0013544,0.041951,-0.019554,-0.007604
1.14,-0.78216,0.33921,132.48,2.3752e+05,0.00098914,0,0,0,91928,280.91,0.34588,-1.0815,1.716e-05,0,0,0,0,0,0.0011262,0.042793,-0.019725,-0.0076662
1.1426,-1.0242,0.37242,142.51,2.3878e+05,0.00019861,0,0,0,91956,280.35,0.37157,-1.0783,1.716e-05,0,0,0,0,0,0.00019653,0.044186,-0.019996,-0.007768
1.1432,-1.2331,0.38099,143.96,2.3902e+05,4.7628e-05,0,0,0,91983,280.3,0.37523,-1.0752,1.716e-05,0,0,0,0,0,4.4612e-06,0.04649,-0.020406,-0.0079339
1.1431,-1.5124,0.44922,144.02,2.3902e+05,4.446e-05,0,0,0,91977,280.3,0.3754,-1.0759,1.716e-05,0,0,0,0,0,3.4393e-06,0.05031,-0.020973,-0.0082012
1.1431,-1.9256,0.58677,144.09,2.3901e+05,4.4461e-05,0,0,0,91972,280.29,0.37563,-1.0765,1.716e-05,0,0,0,0,0,3.4391e-06,0.054189,-0.021415,-0.0084627
